designer,url,temporada,fecha_scrapped,fuente,Year
private-policy,https://assets.vogue.com/photos/65c5dcd202605c4438137d43/master/w_2560%2Cc_limit/00008-private-policy-fall-2024-ready-to-wear-credit-gorunway.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
private-policy,https://assets.vogue.com/photos/65c5dcd34720be8349773f5d/master/w_2560%2Cc_limit/00009-private-policy-fall-2024-ready-to-wear-credit-gorunway.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
private-policy,https://assets.vogue.com/photos/65c5dcd47396c4b952c764de/master/w_2560%2Cc_limit/00010-private-policy-fall-2024-ready-to-wear-credit-gorunway.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
private-policy,https://assets.vogue.com/photos/65c5dcd6dc99f2f932a7b25f/master/w_2560%2Cc_limit/00011-private-policy-fall-2024-ready-to-wear-credit-gorunway.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
private-policy,https://assets.vogue.com/photos/65c5dcd6fdecc19894850a63/master/w_2560%2Cc_limit/00012-private-policy-fall-2024-ready-to-wear-credit-gorunway.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
private-policy,https://assets.vogue.com/photos/65c5dcd86fe35c205ee5b097/master/w_2560%2Cc_limit/00013-private-policy-fall-2024-ready-to-wear-credit-gorunway.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
private-policy,https://assets.vogue.com/photos/65c5dcdabcba8ba4c78cf1dd/master/w_2560%2Cc_limit/00014-private-policy-fall-2024-ready-to-wear-credit-gorunway.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
private-policy,https://assets.vogue.com/photos/65c5dcdac1df118b547f7395/master/w_2560%2Cc_limit/00015-private-policy-fall-2024-ready-to-wear-credit-gorunway.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
private-policy,https://assets.vogue.com/photos/65c5dcdbaaa9cdf6d3a8f858/master/w_2560%2Cc_limit/00016-private-policy-fall-2024-ready-to-wear-credit-gorunway.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
private-policy,https://assets.vogue.com/photos/65c5dcdde9261ce257d849f7/master/w_2560%2Cc_limit/00017-private-policy-fall-2024-ready-to-wear-credit-gorunway.jpg,otoño - invierno,2024_02_09_14_02_19,vogue,2024
